P_C0,P_C1,P_C2,P_C3,P_C4,P_C5,P_C6,P_C7,Player,Cluster
0.0,0.0,0.0,3.3452693e-28,1.0,0.0,0.0,0.0,Ridle Baku,4
1.7143199e-23,1.0,7.465e-42,6e-45,4.0778745e-09,0.0,0.0,2.1961382e-07,Ridle Baku,1
0.0027466398,0.0,1.5821135e-18,5.38e-43,1.1962594e-37,0.9972535,1.488866e-21,0.0,Dilane Bakwa,5
1.780734e-39,0.000290934,0.99970824,0.0,0.0,0.0,0.0,0.0,Tommaso Baldanzi,2
0.0,5.0650166e-28,0.0,0.0,4.561146e-12,0.0,0.0,1.0,Alejandro Balde,7
0.0,0.0,0.0,1.0,5.6982443e-15,0.0,0.0,0.0,Keita Baldé,3
0.0,0.0,0.0,0.0,5.802685e-13,0.0,0.0,1.0,Carlos Baleba,7
3.2658496e-25,0.0,0.0,0.0,0.0,0.012273492,0.98772633,0.0,Leonardo Balerdi,6
7.463187e-31,0.0,6.4922e-38,0.0,0.0,1.0,1.26e-43,0.0,Iván Balliu,5
6.3974066e-29,1.8589859e-08,1.0,0.0,0.0,3.7179577e-09,0.0,0.0,Fodé Ballo-Touré,2
0.9999586,0.0,0.0,1.2353302e-22,0.0,4.1285377e-05,1.606e-39,0.0,Botond Balogh,0
0.0,1.0892741e-35,1.0,0.0,0.0,7.620586e-30,0.0,0.0,Folarin Balogun,2
2.4865905e-28,4.055652e-09,1.0,0.0,0.0,7.1193716e-20,0.0,0.0,Mario Balotelli,2
0.0,0.20572737,0.0,0.0,1.2784203e-29,0.0,0.0,0.7942718,Abdoulaye Bamba,7
2.4152438e-10,5.980909e-07,1.0,0.0,2.26711e-27,8.3330136e-20,0.0,0.0,Jonathan Bamba,2
3.201303e-32,0.0,0.0,0.0,0.0,0.99994487,5.5042474e-05,0.0,Mohamed Bamba,5
3.830426e-14,0.0,0.0,5.2904617e-14,0.0,0.0,1.0,0.0,Samuel Bamba,6
0.0,3.891492e-20,1.0,0.0,0.0,4.3302232e-13,0.0,0.0,Lameck Banda,2
7.91626e-10,0.99995995,3.9115283e-05,0.0,2.577702e-17,2.331152e-31,0.0,5.3747477e-33,Daniel Bandeira,1
0.7931273,0.0,0.0,1.2435387e-21,9.98e-42,0.20687242,9.853336e-25,0.0,Mattia Bani,0
3.5624525e-14,2.7340933e-12,0.0,1.868424e-15,0.016857652,0.0,8.483e-41,0.98314255,Noahkai Banks,7
3.8899772e-28,0.0,0.0,6.6220263e-12,1.0,0.0,0.0,5.6641657e-11,Scott Banks,4
9.425298e-14,2.3592588e-14,0.98523283,0.0,0.0,0.014767883,0.0,0.0,Adrian Baquerin,2
1.988076e-09,2.9366068e-16,0.9934906,0.0,1.809831e-33,0.0065098796,0.0,0.0,Antonín Barák,2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Federico Barba,3
0.0,9.027816e-21,0.0,0.0,0.0,0.0,0.0,1.0,Valentín Barco,7
0.17801978,0.8218193,3.1482724e-31,3.4248128e-26,0.00015991385,1.3066913e-22,3.2647844e-29,1.2405609e-06,Valentín Barco,1
3.60937e-26,2.075192e-21,0.09613114,0.0,0.0,0.90386856,0.0,0.0,Bradley Barcola,5
0.0,0.0,0.0,1.0,2.1376908e-25,0.0,0.0,0.0,Melvin Bard,3
0.0,0.9898089,0.0,0.0,1.931e-42,0.0,0.0,0.010191428,Nicolò Barella,1
1.4040085e-25,0.00018005336,0.99982077,0.0,0.0,3.5643783e-09,0.0,0.0,Gabriel Bares,2
0.0,5.1907432e-12,1.0,0.0,0.0,3.107557e-26,0.0,0.0,Borna Barišić,2
6.304174e-10,0.99942607,0.0005744902,0.0,1.051519e-11,3.549194e-36,0.0,4.219856e-36,Téo Barisic,1
0.0,1.3574e-40,0.0018038639,0.0,0.0,0.99819535,0.0,0.0,Kike Barja,5
3.1835296e-13,0.0012203447,0.9987801,0.0,2.394474e-33,1.0425164e-15,0.0,0.0,Ross Barkley,2
0.0,1.4376673e-30,1.0,0.0,0.0,0.0,0.0,0.0,Aymen Barkok,2
0.0,0.0,6.297017e-12,0.0,0.0,1.0,0.0,0.0,Harvey Barnes,5
