L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,Cluster,Player
0.27740878,0.39504343,0.6912335,-0.43356317,-0.1247315,0.11083796,0.08049851,0.12549286,0.02687835,0.20119137,-0.2738881,0.0693488,-0.17530504,0.26411042,-0.3154519,-0.107312426,1,Raúl Albiol
0.18908896,-0.5476894,0.334515,-0.41955382,0.53599334,-0.19812742,0.20915215,0.2933272,-0.3012567,0.023876145,-0.3535738,-0.5248856,0.1917697,-0.08046862,-0.36058962,0.46486032,1,Carlos Alcaraz
0.29577774,0.24185282,0.4128865,-0.3101529,-0.17390789,-0.018862784,0.15428641,0.22673391,-0.046714276,0.26212835,-0.23229052,-0.05712612,-0.08757115,0.30322784,-0.19839485,-0.0035039447,1,Carlos Alcaraz
0.37502718,0.44386122,0.5479505,-0.45316243,0.69031596,0.11187629,0.52876246,0.35120416,-0.25886133,-0.3066398,-0.073603734,0.024176553,-0.1402451,0.23703903,-0.45236456,0.22689608,1,Omar Alderete
-0.08085719,0.35075918,0.62268794,-0.6356215,-0.71508414,0.32024115,0.72333026,0.19408683,-0.30657056,0.3796317,-0.64545876,0.029009447,-0.3392979,0.24691993,0.07138853,-0.11756356,1,Carles Aleñá
0.06350745,0.2750668,0.38788888,-0.38351953,-0.20216334,0.21518892,0.40757135,0.3052582,-0.17515486,0.15115179,-0.29160964,0.04582323,-0.13780375,0.18900084,-0.01823479,-0.08848864,1,Carles Aleñá
0.47520226,-0.072442845,0.0043427944,-0.29253155,-0.22437322,-0.30985376,0.2864525,0.46397126,-0.4248403,0.5159972,-0.55557084,-0.3161205,0.06255637,0.33652553,-0.2040752,0.24164182,1,Ben Alexander Voll
0.06805718,0.2958542,0.8011625,-0.5578762,-0.110546224,0.109696425,0.26270983,0.061206087,0.053346697,0.17039546,-0.33307964,0.043372884,-0.17239599,0.0724845,-0.17329241,0.016169455,1,Trent Alexander-Arnold
0.05272825,-0.0044411197,0.47574526,-0.3334847,0.37631458,-0.03068392,0.1726924,0.2099875,0.06364831,0.022512794,-0.14989062,-0.15198885,0.0062220525,-0.11023813,-0.2473759,0.29065,1,Alfon
0.15870768,0.5325515,1.14587,-0.81941473,0.26744768,-0.19947313,1.6442077,0.44643927,-0.37785977,0.1608047,-0.68939394,0.077313006,0.3700073,-0.12355604,0.13493522,0.9125534,0,Mohamed Ali Cho
-0.042829126,0.00089422613,0.77269834,-0.50755346,0.49965307,0.067622386,0.10437009,0.12170733,0.0790073,-0.013650566,-0.2790693,-0.18845329,-0.010396954,-0.18280295,-0.38459456,0.36328483,1,Faride Alidou
-0.31227183,0.54477215,1.0430547,-0.83241343,-0.49497986,0.525974,0.050327104,-0.053584486,0.05970335,0.43788958,-0.6421117,0.08803338,-0.52000767,0.15517756,-0.030798659,-0.2654622,1,Alisson
-0.11388555,0.5575826,1.0861623,-0.77040446,-0.39965412,0.4396315,-0.028958978,-0.0617951,0.11931167,0.39603525,-0.56303906,0.1070673,-0.45824504,0.20174187,-0.17631772,-0.24917637,1,Tadeo Allende
0.15041809,0.70579886,1.052132,-0.8088917,-0.55413,0.16750073,1.0128453,0.15757155,-0.28543293,0.32889068,-0.75946635,0.23075235,-0.24661386,0.18779725,0.029363856,0.040786676,1,Jim Allevinah
0.06557478,0.06741081,0.47108245,-0.3210472,0.27910653,0.008476965,0.09987536,0.20051761,0.08103619,0.069337025,-0.14825937,-0.10995418,-0.04038815,-0.039371617,-0.27229714,0.20127028,1,Dele Alli
0.1335731,-0.45031142,0.33034244,-0.36853248,0.35026148,-0.14324282,0.1375615,0.27684936,-0.1972104,0.105585575,-0.32929093,-0.4427226,0.15280977,-0.07106627,-0.31915635,0.3363345,1,Thiago Almada
0.2790721,0.15071131,0.65091455,-0.438818,0.13067946,-0.114607304,0.35292897,0.1606471,-0.08156435,0.08839042,-0.24876015,-0.08986379,-0.008442905,0.14194526,-0.285138,0.20997405,1,Domingos André Ribeiro Almeida
0.10641336,0.4595639,0.70804524,-0.54098976,-0.5072693,0.22755232,0.6031134,0.19447996,-0.25655553,0.30599153,-0.5306847,0.091076896,-0.22526632,0.29075313,-0.06001979,-0.12849194,1,Iker Almena
0.53759646,-0.039225847,0.23619437,-0.30710924,-0.05986944,-0.37040958,0.34100732,0.43502116,-0.36561152,0.34904104,-0.45347768,-0.3219058,0.24084239,0.3620178,-0.24368535,0.41443285,1,Miguel Almirón
0.16368283,0.61742467,0.5826809,-0.46969354,-0.5037143,0.27955198,0.9354563,0.43151754,-0.47137585,0.30565792,-0.58168465,0.13143805,-0.09720448,0.38363135,0.0043560416,-0.047101583,1,Pontus Almqvist
0.23893104,-0.13926378,0.39805505,-0.35956135,0.22976698,-0.18430626,-0.10209366,0.19260007,-0.0048911422,0.21173187,-0.22815676,-0.30743968,0.037167527,0.10977657,-0.33772397,0.22900777,1,Marcos Alonso
0.084008425,0.3649272,0.5172117,-0.523465,-0.649417,0.17606893,0.8001674,0.27561834,-0.32672945,0.37771958,-0.55993533,0.005852744,-0.22250614,0.32115638,0.05409427,-0.011991661,1,Giorgio Altare
-0.13334712,0.420843,0.81272274,-0.62391025,-0.28239626,0.34432316,0.05304966,0.03750716,0.032991085,0.31168568,-0.44331574,0.060615838,-0.35811344,0.15054819,-0.12649846,-0.21363686,1,Adrià Altimira
-0.15303463,0.34644583,0.84337574,-0.811779,-0.65552896,0.2571435,0.72018665,0.053528443,-0.21612263,0.35112092,-0.7155378,0.03186235,-0.35110158,0.1049936,0.07794024,-0.039486002,1,Sergi Altimira
0.16352281,0.7130216,0.8089647,-0.4681775,0.09841488,0.30911127,0.20634381,0.2358387,-0.07771747,0.085035294,-0.3351338,0.25869977,-0.16326332,0.18716896,-0.23942314,-0.1387986,1,Olabade Aluko
0.45894605,0.59493756,0.38919994,-0.2717874,-0.38340616,0.02454912,0.62927836,0.4451868,-0.37687057,0.38122118,-0.3991379,0.021171167,-0.034826532,0.591398,-0.21719024,0.051346265,1,Edson Álvarez
