Player,Cluster,tSNE_1,tSNE_2
Gabriel Bares,1,-15.954015,-8.465062
Borna Barišić,1,-25.005512,-2.5249355
Téo Barisic,1,-32.413612,-2.789551
Kike Barja,1,4.742436,-29.886105
Ross Barkley,1,-21.457083,-18.947836
Aymen Barkok,1,-49.22285,-10.705633
Harvey Barnes,1,7.4225693,-26.446556
Enzo Barrenechea,1,15.781565,-21.5759
Ander Barrenetxea,1,11.335334,-35.952206
Pablo Barrios,1,15.52905,-17.360828
Thierno Barry,1,25.171625,-23.752884
Davide Bartesaghi,1,9.552086,25.303774
Marc Bartra,0,57.31401,-3.861824
Federico Baschirotto,1,-26.23263,4.28097
Daniele Baselli,0,28.17885,-7.32958
Calvin Bassey,1,21.657608,-0.07307953
Aboubacar Bassinga,1,-26.40565,6.87911
Alessandro Bastoni,1,-38.24045,-3.831019
Augusto Batalla,0,57.652378,-2.700427
Michy Batshuayi,1,20.581337,-31.737743
Dylan Batubinsika,1,-48.353245,23.637777
Maximilian Bauer,1,5.275542,-18.941063
Oliver Baumann,1,5.2199945,0.38012564
Christoph Baumgartner,1,8.416714,10.232905
Rafael Bauza,1,-7.370554,4.74243
Altay Bayındır,1,25.752882,1.4810079
Ihlas Bebou,1,-40.188137,21.987183
Adrian Beck,1,9.461365,8.683067
Sheraldo Becker,0,18.41446,31.823032
Timo Becker,1,10.515262,-29.900461
Jan Bednarek,1,8.960533,36.570347
Donny van de Beek,1,-1.4368813,-11.100645
Hannes Behrens,1,-9.368525,9.279788
Kevin Behrens,1,-18.652525,-2.6960735
Maximilian Beier,1,-21.16435,-25.577156
Luken Beitia,1,-60.56379,-1.55618
Ismael Bekhoucha,1,-34.72961,-10.115702
Reda Belahyane,1,-37.237423,10.438326
Reda Belahyane,0,17.275772,32.98013
Haris Belkebla,1,31.969957,-32.69765
Yassin Belkhdim,1,12.373467,-37.89898
Stefan Bell,1,9.065981,30.283329
Armel Bella Kotchap,1,4.7674923,36.62025
Raoul Bellanova,1,-7.98659,9.014793
Raoul Bellanova,1,15.357118,-10.944464
Jean-Ricner Bellegarde,1,11.649602,24.116571
Héctor Bellerín,1,17.909039,-30.605173
Jude Bellingham,1,-0.99136084,-1.3704479
Jeanuël Belocian,1,-37.73062,28.541222
Andrea Belotti,1,11.113617,-20.012926
Fran Beltrán,1,-55.379963,-0.5063335
Lucas Beltrán,1,-19.368385,-19.32955
Eliesse Ben Seghir,1,-31.623316,-15.397499
Carlos Benavídez,1,-49.89551,-11.60217
Adrian Benedyczak,1,-23.680952,-26.73359
László Bénes,1,27.342268,-4.5429096
Iker Benito,1,0.80690867,2.3695724
Ismaël Bennacer,1,-4.622516,-12.300273
Ismaël Bennacer,1,-32.9002,14.999522
Saïd Benrahma,1,7.789301,-23.792315
Ramy Bensebaini,1,25.955067,-23.783426
Nabil Bentaleb,1,17.19821,27.902044
Rodrigo Bentancur,1,-10.774382,26.69449
Daniel Bentley,1,-61.232883,-1.9133683
Lucas Beraldo,1,-0.40467906,33.475193
Yuri Berchiche,1,12.808832,-0.28144947
Álex Berenguer,1,-21.004063,-14.7594185
Sander Berge,1,29.025326,-39.257656
Lucas Bergvall,1,-26.114822,-25.670332
Medon Berisha,1,-23.721464,-28.873465
Mergim Berisha,1,-8.489113,14.369313
Mergim Berisha,1,-60.032852,-2.14903
Adrian Bernabe,1,-3.2880025,24.34695
Marc Bernal,1,1.3903495,10.716752
Bernardo,1,25.932753,-5.3785214
Juan Bernat,1,4.1794353,34.453712
Juan Bernat,1,-20.672321,11.945233
Maxime Bernauer,0,53.22244,-3.1893225
Antoine Bernede,1,-53.41252,5.869521
Alexander Bernhardsson,0,43.74933,-6.819045
Victor Bernth Kristiansen,1,-12.709294,-20.845236
Matúš Bero,1,-14.988237,11.480624
Juan Berrocal,1,-47.275345,23.900902
Dimitry Bertaud,1,-4.695291,15.7292595
Jan-Niklas Beste,1,3.7241933,17.285025
Beto,1,-41.48959,24.628418
Sam Beukema,1,-47.00535,-4.306087
Alessandro Bianco,1,13.071914,-12.768087
Alessandro Bianco,1,-26.104307,-19.091074
Mika Biereth,1,-33.446434,-9.822142
Jaka Bijol,1,6.3220844,-31.754194
El Bilal Touré,1,-38.192787,17.789648
Philip Billing,1,-35.05181,-12.693067
Philip Billing,1,9.47696,18.497536
Cristiano Biraghi,1,-35.939873,18.349136
Cristiano Biraghi,1,-11.286972,-21.61998
Samuele Birindelli,1,7.5096807,-25.69558
Tom Bischof,0,51.32397,14.284908
Yves Bissouma,1,-4.0700727,22.40986
Leonardo Bittencourt,1,-11.970058,10.266767
Emmanuel Biumla,1,7.958762,27.826702
Marco Bizot,1,19.19106,-16.095251
Bjarki Bjarkason,1,-37.5495,-14.138445
Antonio Blanco,1,-6.736531,25.048517
Ludovic Blas,1,-21.433477,-26.08753
Daley Blind,1,-5.284758,23.05772
Myron Boadu,1,-3.9595532,-19.147587
Augustine Boakye,1,12.624183,-4.550304
Oscar Bobb,1,36.31462,-2.3374634
Mathéo Bodmer,0,18.857403,30.126942
Sacha Boey,1,-22.598791,-0.74957234
Jeremie Boga,1,-38.596172,-6.859234
Lamare Bogarde,1,-12.30957,-10.140547
Emil Bohinen,1,-47.20574,22.317232
Adama Boiro,1,-43.446003,26.505095
Willy Boly,1,-21.088137,11.6028385
Moïse Bombito,1,39.13642,-8.946443
Warren Bondo,1,10.933362,-12.846405
Warren Bondo,1,-41.065926,27.753708
Victor Boniface,0,37.693405,6.6615877
Kevin Bonifazi,1,-57.134377,0.5995347
Ange-Yoan Bonny,1,6.434097,37.808517
Sebastiaan Bornauw,1,-27.437502,5.328301
Sven Botman,1,23.883875,-9.5369625
Saïmon Bouabré,1,10.757165,-31.822205
