Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Juan Berrocal,0,45.79924,9.888769,-3.8635275,6.2302756
Dimitry Bertaud,0,8.673124,14.464599,0.6719082,4.098375
Jan-Niklas Beste,0,5.431939,17.319475,1.3127671,4.1843667
Beto,0,43.945156,15.278272,-3.2596488,6.3654995
Sam Beukema,4,35.935905,-1.1676759,-3.51055,4.293704
Alessandro Bianco,3,-14.593901,-8.051858,2.6210866,0.88023096
Alessandro Bianco,4,19.873896,-14.268301,-1.7711977,2.0989728
Mika Biereth,4,29.972376,-22.886532,-2.8199651,2.0282035
Jaka Bijol,3,-0.4242649,-21.314795,0.5580958,-0.1382318
El Bilal Touré,0,37.350967,12.184875,-2.608449,5.4223676
Philip Billing,4,29.00455,-22.267132,-2.85559,2.0335813
Philip Billing,2,-7.162546,29.486567,2.7550368,4.6179028
Cristiano Biraghi,0,34.418648,14.955792,-2.41735,5.3253894
Cristiano Biraghi,4,2.0549912,-20.56286,0.071338624,0.11428494
Samuele Birindelli,3,-25.330732,-27.515276,2.9058678,-1.6318188
Tom Bischof,1,-41.33306,16.723793,6.424745,2.0804617
Yves Bissouma,2,10.261411,16.326008,0.86738795,4.3335776
Leonardo Bittencourt,4,12.527418,0.14311175,-0.36639857,2.9851866
Emmanuel Biumla,2,-5.077465,22.545351,2.4163342,4.117085
Marco Bizot,3,-25.857553,-0.645385,3.688806,0.9365285
Bjarki Bjarkason,4,26.585363,-22.403425,-2.6656904,1.913406
Antonio Blanco,0,7.0600595,24.137234,1.2715436,4.4287786
Ludovic Blas,4,18.040083,-7.1627197,-1.0073584,2.3772852
Daley Blind,2,2.9495094,12.488319,1.248196,3.823491
Myron Boadu,4,-6.823766,-20.736296,1.0580895,0.11324115
Augustine Boakye,4,-3.785175,-7.2995157,1.2096341,1.3119363
Oscar Bobb,1,-34.42723,-2.9064398,4.6105914,1.0157571
Mathéo Bodmer,2,-16.27014,30.16628,3.7721026,4.2937675
Sacha Boey,4,20.700632,-39.90983,-2.8260906,-0.7196372
Jeremie Boga,4,34.607605,-20.223051,-2.9035978,3.1802924
Lamare Bogarde,4,8.41204,-5.343098,-0.16305251,1.8835653
Emil Bohinen,0,46.47006,9.623568,-3.8694422,6.235116
Adama Boiro,0,42.63015,16.06655,-3.164514,6.35088
Willy Boly,4,17.21802,10.691201,-0.3972495,4.101984
Moïse Bombito,3,-35.414207,-6.4759483,4.7259665,0.0062773447
Warren Bondo,3,-18.536318,-4.026366,2.9657266,0.77728426
Warren Bondo,0,42.132515,19.049809,-2.728428,6.3021502
Victor Boniface,1,-29.979216,8.431334,5.051487,1.9996837
Kevin Bonifazi,0,45.938713,-2.605879,-4.941727,4.7120996
Ange-Yoan Bonny,2,-1.8531616,25.565498,2.4027846,4.630327
Sebastiaan Bornauw,0,30.900074,19.009972,-1.6719943,5.2751927
Sven Botman,1,-27.879333,10.234202,5.0626493,2.3102899
Saïmon Bouabré,3,-25.432957,-19.79557,3.017799,-0.83589727
Ayyoub Bouaddi,3,-11.412848,-19.921288,2.0706148,-0.28495762
Badredine Bouanani,2,3.3363507,30.851995,1.9590468,5.269839
Benjamin Bouchouari,0,45.106846,0.36674625,-4.3823524,4.9034925
Hicham Boudaoui,0,36.06159,17.210897,-2.2996013,5.526249
Carlo Boukhalfa,0,29.626478,19.44533,-1.5984304,5.21561
Justin Bourgault,4,20.378803,-26.590912,-2.231682,0.678367
Benjamin Bourigeaud,3,-36.15618,-15.451626,4.348468,-0.9022717
Edoardo Bove,3,-16.096983,-11.614121,2.429972,0.36927223
Jarrod Bowen,4,9.836222,-9.782375,-0.49321488,1.490455
Enzo Boyomo,3,-10.582709,-21.318613,1.4927353,-0.28302565
Enzo Boyomo,0,15.271025,13.724187,0.15716779,4.2138195
Domagoj Bradarić,0,31.610535,19.329348,-1.7097845,5.3680186
Conor Bradley,2,8.888365,31.287575,1.3765393,5.4918633
Bilal Brahimi,4,10.179731,-9.566037,-0.5793885,1.6318698
Julian Brandt,4,13.8547735,5.299892,-0.09786924,3.5207603
Jarrad Branthwaite,3,-17.416712,-4.025526,2.8683424,0.8818049
Darko Brašanac,4,22.602045,-15.684671,-1.7493694,2.1611998
Lilian Brassier,4,-1.9362818,2.7429793,1.2859344,2.3999221
Lilian Brassier,4,16.702883,23.712124,0.5852415,4.9023743
Matthias Braunöder,4,17.42534,-19.575542,-1.6064086,1.5529175
Iker Bravo,0,37.341015,16.393005,-2.348463,5.5915475
James Bree,2,0.27962986,20.54229,1.6538808,4.173043
Tim Breithaupt,4,25.30684,-30.755865,-2.5810697,0.5655466
Gleison Bremer,2,-22.158995,6.682464,3.443009,1.7322354
Brenner,4,-4.5733204,-7.124227,1.2922286,1.3643337
Ben Brereton,0,45.573704,23.19028,-2.669384,6.5202446
Marco Brescianini,3,-27.841997,-11.327406,4.057309,-0.12927529
Maximilian Breunig,2,11.538812,33.588737,1.2570915,5.450276
Anthony Briançon,1,-45.87573,13.078912,7.1380005,1.6087189
Nathan Broadhead,3,-39.643387,-12.517893,4.9958553,-0.7520223
Armando Broja,3,-34.001587,-20.876959,4.1308913,-1.5065506
David Brooks,4,24.848946,-29.608236,-2.4066637,0.6107309
Arvid Brorsson,2,-6.4999986,20.19559,2.7075934,4.2319946
Moritz Broschinski,3,19.111143,-40.98499,-2.437825,-0.49228632
