L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,Cluster,Cluster_KMeans,Cluster_Agglom,Cluster_GMM,GMM_Confidence,Recon_Error,Player
-0.34870666,-0.0662567,-0.16563478,-0.49014664,-0.40590522,0.2363614,-0.16752863,0.525363,-0.5138072,0.4130938,-0.19265404,0.19250894,2,2,2,2,0.9999995,0.11631564,Joseph Aidoo
-0.33812207,-0.15559058,-0.45822847,0.49603927,0.14616361,-0.39059824,-0.16176707,0.3946505,-0.009593397,-0.34630692,-0.42887226,0.48004568,3,3,3,3,0.9992317,0.07176124,Ayman Aiki
-1.6000212,-0.60259163,0.46987993,-0.8349105,-1.5219531,0.6468229,0.90898925,-0.1198454,0.54636216,1.8496444,0.6506462,-0.033807583,0,0,0,0,1.0,0.093329936,Ola Aina
-0.6142182,0.024347704,-0.11982649,-0.38146162,0.5060429,0.47502768,0.45143765,-0.5575826,0.4515438,-0.36842662,-0.6696928,0.5738685,4,4,4,0,0.99999475,0.031905025,Rayan Aït-Nouri
-0.22618492,-0.17911406,-0.23365292,-0.25174516,-0.38596612,0.004832417,0.5340752,0.16752884,-0.17188285,-0.49430662,-0.49261692,0.06409135,4,4,4,4,0.9964245,0.015658751,Junior Ajayi
-0.39097852,0.0548485,0.16340597,-0.2771619,-0.42162734,0.44883752,0.51465505,0.030954786,0.036403716,0.34085572,-0.01045464,-0.027018078,0,0,2,0,0.7354197,0.049508467,Kristoffer Ajer
-0.41317648,-0.23259343,-0.019071631,-0.37858236,-0.56716144,0.24546395,0.5457459,0.19179228,-0.21391466,-0.09587337,-0.33185655,-0.01635322,4,4,4,4,0.8426194,0.01359362,Ludovic Ajorque
-0.71144027,-0.076137185,-0.6656061,0.45192796,-0.33826756,0.03445424,-0.08902401,0.82177365,-0.15391643,0.11589998,-0.018857852,0.6900497,2,2,3,2,0.564492,0.06614928,Manuel Akanji
-1.1542377,-0.70969397,-0.43439162,1.6029137,0.5261828,-2.7306795,-1.182258,1.9798774,-0.14355148,2.5010633,1.8862555,0.827372,1,1,1,1,1.0,0.10858822,Ümit Akdag
-0.90430754,-0.16489284,0.38298666,-0.72015333,-0.2745525,0.51912576,0.7107131,-0.7991908,0.5928208,0.13628435,-0.17057632,-0.42872775,0,0,0,0,1.0,0.072122335,Nathan Aké
-0.40626708,-0.24814524,0.008034781,0.24275875,0.05957422,-0.30536786,0.03113333,0.1556353,-0.04837893,0.011215545,-0.239197,0.23056142,4,4,4,3,0.9973913,0.032666415,Ilias Akhomach
-0.34032667,-0.1280969,-0.18373418,-0.07038961,0.12743172,0.038303792,0.21254785,0.03613463,0.10564233,-0.41531223,-0.6953895,0.3766548,4,4,4,4,0.99999905,0.024121094,Sergio Akieme
-0.37079954,0.030266894,-0.14274865,-0.41935128,-0.29949296,0.55429196,0.46113965,0.029375196,-0.18466777,-0.11256976,-0.2309579,0.14668569,4,4,4,0,0.99092376,0.0817021,Maghnes Akliouche
-0.6739849,-0.1295056,-0.09078633,-0.5734518,-0.8921534,0.60271865,0.34839538,0.2844806,-0.1911719,0.7185179,0.2428248,-0.014001101,2,0,2,2,0.99164987,0.07554057,Paul Akouokou
-0.8798414,-0.002197756,0.21662962,-0.38972664,-0.32552525,-0.6767039,-0.90612286,0.9317674,-0.275033,2.0942564,0.80500925,0.12516856,2,2,1,2,0.9957354,0.10632064,Clément Akpa
