Player,Cluster,tSNE_1,tSNE_2
Wes Burns,0,42.571724,-1.3875736
Marnon Busch,1,-27.130505,-2.623661
Gianluca Busio,1,-18.846224,38.34848
Aurélio Buta,1,37.085663,-12.639729
Jean Butez,1,-14.362553,38.873817
Nathan Butler-Oyedeji,0,40.260426,-8.152623
Marcin Bułka,1,20.023766,-28.726532
Pau Cabanes,1,-20.476807,33.77896
Pau Cabanes,1,-19.24615,33.916847
Rémy Cabella,1,-34.550117,-6.3586245
Leandro Cabrera,1,-9.247838,7.6125226
Liberato Cacace,1,22.270582,-3.858412
Alessio Cacciamani,1,-32.953053,-13.811027
Anthony Caci,0,49.801308,12.003113
Mathieu Cafaro,1,0.3217132,7.673171
Moisés Caicedo,1,17.183928,29.203142
Tom Cairney,0,52.996593,0.7908047
Jens Cajuste,0,55.963802,10.558885
Davide Calabria,1,-33.652977,-13.904187
Davide Calabria,1,2.576905,27.768211
Riccardo Calafiori,1,3.6478615,-42.48504
Luca Caldirola,0,43.39382,11.253094
Fernando Calero,1,-34.50183,27.66323
Duje Ćaleta-Car,1,7.898936,10.678596
Hakan Çalhanoğlu,1,-36.50364,-21.199339
Dominic Calvert-Lewin,1,22.479765,25.688549
Drissa Camara,1,36.902863,-5.8663645
Issiaga Camara,1,28.688759,16.660606
Lamine Camara,1,20.703875,-11.222213
Mahdi Camara,1,-16.812195,0.95835656
Ousmane Camara,1,-30.546587,-19.46763
Francesco Camarda,1,-20.66431,13.547751
Eduardo Camavinga,1,-18.381496,20.525194
Nicolò Cambiaghi,1,27.840836,-5.467572
Andrea Cambiaso,0,49.95717,0.35981336
Axel Camblan,1,5.9008703,3.0433323
Sergio Camello,1,3.0360985,-9.488511
José Campaña,1,27.650362,33.2339
Thomas Campaniello,1,20.997686,36.80545
Cole Campbell,1,-37.231236,-11.324155
Emre Can,1,-3.5975814,-31.54737
Peio Canales,1,29.541506,-9.9448185
Matteo Cancellieri,1,3.494851,-4.3065743
Fali Candé,1,-33.11629,-12.889963
Antonio Candela,1,5.0394216,4.607037
Antonio Candela,1,-32.329617,22.644928
Sergi Canós,1,31.967379,11.463026
Jaydee Canvot,1,15.217499,-12.778784
Pierrick Capelle,1,-25.45206,28.408548
Gianluca Caprari,1,-29.264221,16.706863
Elia Caprile,1,11.407422,31.77917
Elia Caprile,1,-21.6851,-7.689253
Gabin Capuano,1,-22.001102,-34.192215
Francesco Caputo,0,40.72254,2.2502952
Maxence Caqueret,1,2.935738,-40.971317
Maxence Caqueret,1,-33.81064,-32.86063
Simon Cara,1,-14.377869,-22.05149
Andrea Carboni,1,26.431423,-10.141614
Franco Carboni,1,7.4796634,17.770802
Valentin Carboni,1,-32.26721,11.681217
Dani Cárdenas,1,-12.396874,-15.041312
Irvin Cardona,1,-11.79702,11.561095
Irvin Cardona,1,19.20324,-17.754156
Marc Cardona,1,-5.828586,-0.41789994
Sergi Cardona,1,-30.201336,0.067761704
Johnny Cardoso,1,20.93291,-15.754481
Tiago Cardoso,1,-24.60742,28.252663
Patrik Carlgren,0,37.934002,-9.868309
Diego Carlos,1,-28.648537,-32.93221
José Carlos González,1,9.293279,-32.01183
Carmona,1,-32.21815,-18.120407
Marco Carnesecchi,1,-24.022896,13.040282
Sergio Carreira,1,8.0436735,-12.075866
Dani Carvajal,1,15.422852,21.296232
Fabio Carvalho,1,28.373774,34.60671
William Carvalho,0,52.776863,11.516539
Cesare Casadei,1,-14.530839,-4.8388815
Marc Casado,1,-24.253973,10.3352
Nicolò Casale,1,-18.672714,41.20418
Nicolò Casale,1,-34.376682,-4.201346
Casemiro,0,44.326057,-1.6897801
Kaelan Casey,1,8.46894,-16.952915
Matty Cash,1,31.054075,11.702866
Eiran Cashin,1,-2.9393191,7.866211
Josué Casimir,1,-22.387535,41.6871
Federico Cassa,1,30.905104,34.63186
Cristian Cásseres Jr.,1,27.867023,16.76372
Timothy Castagne,0,50.106503,13.837065
Valentín Castellanos,1,-22.337595,26.672089
Jean-Charles Castelletto,1,29.692535,-5.874329
Santiago Castro,1,4.1398487,-38.532536
Gaetano Castrovilli,1,13.873795,-35.084736
Gaetano Castrovilli,1,25.069939,15.416562
Danilo Cataldi,1,6.41365,-26.305883
Catena,1,-8.27269,-26.846867
Maximiliano Caufriez,1,9.954518,-5.7828684
Enzo Caumont,1,11.589094,32.48167
Dani Ceballos,0,53.91838,3.8460128
Abdoulie Ceesay,1,23.103134,8.148951
Zeki Çelik,1,-18.490623,34.674854
Fabien Centonze,1,18.694407,34.81647
Alberto Cerri,1,4.815038,-24.906654
Franco Cervi,1,32.462124,-8.907457
Julian Chabot,1,-15.012527,-25.170238
El Chadaille Bitshiabu,1,5.22875,24.701914
Fares Chaïbi,1,-32.611534,20.91425
Trevoh Chalobah,1,-39.446304,-32.444683
Trevoh Chalobah,1,22.588978,6.058661
Timothy Chandler,0,45.946617,9.965722
Conor Chaplin,0,57.165287,9.799741
Brendan Chardonnet,1,-11.43882,-5.115954
Gabriel Charpentier,1,10.845766,20.328
Raúl Chasco,1,-18.464052,6.2923536
Anrie Chase,1,-2.8787313,18.625069
Pep Chavarría,1,-32.77921,27.777573
Arthur Chaves,1,-14.424959,11.547016
Jhoanner Chávez,1,33.972878,2.8804014
Walid Cheddira,1,30.782082,30.745712
Walid Cheddira,1,5.199116,-22.680065
Chema,1,-45.781704,-0.32281205
Théo Chennahi,1,0.6335085,-35.027374
Sidiki Cherif,0,53.493416,11.585322
Rayan Cherki,1,6.2861905,-5.121199
Youssef Chermiti,0,46.257057,-1.589307
Lucas Chevalier,0,37.811497,0.19558613
Fabio Chiarodia,1,18.260572,37.161964
Julián Chicco,1,18.418188,-15.090297
Leandro Chichizola,1,-33.253323,-27.51943
Federico Chiesa,1,4.7523417,-0.49220592
Ben Chilwell,1,-25.151417,9.669812
Chiquinho,1,11.13765,15.578138
Chiquinho,1,3.6931357,18.182713
Pedro Chirivella,1,-13.749665,15.44082
Joris Chotard,1,23.433697,12.042897
Hamza Choudhury,1,0.00086253125,17.827282
Andreas Christensen,1,15.771239,20.241495
Ryan Christie,1,3.344384,-24.497503
Carney Chukwuemeka,1,-3.28336,6.010756
Samuel Chukwueze,1,7.6419306,12.116185
Aaron Ciammaglichella,0,45.72205,-5.836259
Jasper Cillessen,1,-27.52075,10.63566
Giuseppe Ciocci,1,6.453345,-35.94371
Alessandro Circati,0,40.826733,-11.624652
Pathé Ciss,1,24.96146,32.278233
Alphadjo Cissè,1,10.285842,18.474644
Djaoui Cissé,1,-7.945025,-2.4210896
Seydouba Cissé,1,8.787552,30.836462
Yoann Cissé,1,-10.213052,-27.645716
Patrick Ciurria,1,30.39209,-6.218902
Harry Clarke,1,26.695269,-2.4227293
Jack Clarke,1,3.763068,6.8240137
Alexis Claude-Maurice,1,-29.421364,20.677164
Jonathan Clauss,1,5.0841374,-19.708311
Silvi Clúa,1,-7.4282026,-19.175917
Nathaniel Clyne,1,0.5017446,27.299082
Conor Coady,1,14.392177,-11.021235
Marcus Coco,1,-21.18457,28.83336
Saúl Coco,1,-11.443736,-20.901089
Séamus Coleman,1,-31.435324,-4.5155153
Nathan Collins,1,-16.893303,1.663302
Nnamdi Collins,1,15.540612,-12.194439
Toby Collyer,1,-0.65795577,28.936094
Lorenzo Colombo,1,22.690203,31.591555
Andrea Colpani,1,-20.714859,-28.529816
Levi Colwill,1,-15.626298,38.4033
Florinel Coman,1,3.3721044,-30.608704
Kingsley Coman,1,-32.209286,-19.460617
Eray Cömert,1,-47.568626,-1.8595316
Santi Comesaña,1,33.224365,-1.9414184
Pietro Comuzzo,0,37.89572,0.37412396
Francisco Conceição,1,25.624695,-9.689161
Diego Conde,1,14.390071,0.27489197
Tomás Conechny,1,18.037037,36.7109
Alois Confais,1,7.548123,-2.4151225
Sirlord Conteh,1,-37.717915,-18.921392
Lewis Cook,1,13.03197,18.751684
Copete,0,41.936646,-0.833192
Diego Coppola,1,-5.9440103,-21.698696
Francis Coquelin,1,10.870581,-13.523448
Iker Córdoba,1,-12.737477,-13.231881
Derek Cornelius,1,-3.4631772,-36.78508
Maxwel Cornet,1,3.4996243,-28.96497
Maxwel Cornet,1,-34.3433,27.368252
Pierre Cornud,1,11.761016,-14.298221
Ángel Correa,0,39.069664,-1.3003945
Joaquín Correa,1,-13.606792,-11.454157
Thierry Correia,1,-4.3995976,-35.180458
Alberto costa,1,26.02479,-14.930404
Coba da Costa,1,-12.650061,16.255112
Danny da Costa,0,41.029716,-2.4791427
David Costa,1,-11.986003,-7.7268777
Logan Costa,1,-30.976025,7.045273
Logan Costa,1,-35.177635,-10.836583
Samu Costa,1,-1.4891866,0.2351919
Grégoire Coudert,1,-31.652514,9.818886
Vladimír Coufal,1,32.794903,-1.7370073
