L1,L2,L3,L4,L5,L6,L7,L8,Cluster,Player
-0.802014,-0.28381336,-0.09059666,-0.98445326,-0.10743141,0.1646692,-0.21822056,-0.22609836,0,Jordan Ayew
0.27312133,0.29953447,0.2654389,-0.21135715,0.28174233,0.23358668,0.38687858,-0.4566088,0,Neil El Aynaoui
0.40241867,0.21768257,-0.8741339,-0.15895595,0.71862847,-0.7810587,-0.5735971,-0.6096051,1,Ayman Azhil
-0.5903068,0.038190134,-0.5866054,-0.5402117,0.575738,-0.42394334,-0.42368484,-0.07350134,1,Adam Aznou
-1.6910286,-0.7983749,-0.5580939,-1.2351407,1.1241972,-0.5420148,-0.78630435,-0.5911219,1,Adam Aznou
0.10417163,-0.06744614,-0.6922322,-0.19656904,0.62159276,-0.5417875,-0.48929295,-0.633997,1,César Azpilicueta
0.37275398,1.553316,-0.3374403,-0.16745205,1.280273,-0.2819807,1.0970595,-1.1169715,2,Paulo Azzi
-0.56721485,-0.1721679,-0.62518424,-0.7226802,0.5512114,0.004954174,-0.6635058,-0.23545754,1,Oussama El Azzouzi
-0.47281748,-0.14033094,-0.25549853,-0.38542137,0.36599666,0.029326156,-0.49342442,0.16493437,0,Papa Ba
-0.25328115,0.0018365383,0.37446854,-0.50912553,-0.17844814,0.20123126,0.18448606,-0.045323916,0,Shavy Babicka
-0.3065728,0.023311682,-0.24580914,-0.76180214,0.32874742,-0.12376362,0.19627598,-0.4836292,0,Jacopo Bacci
-0.7236881,0.04696185,-0.36993676,-0.2593728,0.7844015,-0.15971838,-1.3316588,-0.26625645,1,Aliou Badara Baldé
-0.7670537,0.19450769,0.40935653,-0.39423656,0.09546994,0.40858197,-0.62908643,0.16259998,0,Loïc Bade
-1.1944427,-0.6357984,0.1875368,-0.60509384,0.063171744,-0.054915354,-0.60312474,0.572088,0,Milan Badelj
-0.65436566,0.11706249,0.3552461,-0.61584187,-0.11201155,0.39217836,-0.23629555,0.038259715,0,Benoît Badiashile
-0.35905603,0.7607521,0.44479033,0.07671966,0.6187507,-0.3815009,0.20789543,-0.13848996,0,Alex Baena
-0.057470784,0.5890504,-1.168239,0.12645377,1.557677,0.13837059,-1.332252,-0.48553255,1,Juma Bah
0.021307215,1.3267726,-1.0060428,-0.6880857,1.1904464,-0.40702295,0.12586576,-0.8769276,1,Juma Bah
