Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Woyo Coulibaly,2,-18.683252,18.281132,0.8267328,2.459885
Yan Couto,0,-4.053162,3.4197495,2.6921673,4.7579813
Nicolas Cozza,1,-15.418506,-9.625254,1.0445971,6.6268487
Aaron Cresswell,2,-21.991385,19.4506,0.28426793,2.1990294
Charlie Cresswell,7,-20.71484,-24.170866,-0.08107591,9.000891
Bryan Cristante,4,-0.07999406,-17.984818,3.3063703,7.718728
Juan Cruz Armada,2,-29.15118,18.867924,-0.395903,2.0081453
Juan Cruz,3,16.579144,-9.504755,5.8109303,6.5407653
Juan Cuadrado,0,8.9555235,6.326285,4.990715,4.1958213
Pau Cubarsí,7,-20.084772,-30.504993,0.16354838,9.572721
Cucho,5,27.692411,13.799063,7.4880614,3.2132514
Marc Cucurella,7,-2.6049304,-32.569035,3.0913792,9.7664795
Matheus Cunha,3,41.10405,-14.992614,8.985196,7.5188456
Patrick Cutrone,6,39.496887,3.8688233,9.206004,5.0933657
Tomáš Čvančara,5,30.708082,24.142437,7.998926,1.6446255
Danilo D'Ambrosio,1,-23.345629,15.448947,0.3495083,2.5551841
Lucas Da Cunha,4,11.287432,-28.400934,5.086153,9.010106
Patson Daka,2,23.46598,35.571022,6.688791,0.24345876
Thijs Dallinga,5,33.64939,20.07634,8.259967,2.2186027
Diogo Dalot,7,-1.7315083,-32.976467,3.2144253,9.895269
Mikkel Damsgaard,4,12.487361,-38.53213,5.1735477,10.176303
Flavius Daniliuc,2,-23.84374,19.152058,0.13511933,2.2401276
Danilo,2,-25.578411,20.691278,-0.1011702,1.9449846
Arnaut Danjuma,0,23.345945,5.785358,6.743855,4.3238873
Kévin Danois,1,-4.1688814,-5.75277,2.689398,6.1169596
